,Id,Name,Location,Rating,Price,Zipcode,Transactions,Review Count,Categories
27,ZQHZAvw1jvNznbo1wFb_4w,Bay Thai,6735 3rd Ave,4.0,$$,11220,"['pickup', 'delivery']",144,"[{'alias': 'thai', 'title': 'Thai'}]"
28,a-Bq_yXFVk2PptoWpmry3w,Pye Boat Noodle,35-13 Broadway,4.5,$$,11106,['delivery'],838,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}]"
29,tx-gxkns4uFyve7Eu5mYKA,Tana Thai,1890 Eastchester Rd,3.0,$$,10461,"['pickup', 'delivery']",199,"[{'alias': 'thai', 'title': 'Thai'}]"
30,RdGWCbcxA79G1ZMPVL3SGQ,Nora Thai,176 N 9th St,4.0,$$,11211,"['pickup', 'delivery']",82,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'noodles', 'title': 'Noodles'}]"
31,p2zm0HnXZkI2yCAuYLb45g,Thai Market,960 Amsterdam Ave,4.0,$$,10025,"['pickup', 'delivery']",1014,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'soup', 'title': 'Soup'}]"
32,SBy46BviyBKowPjbTjDsHQ,Lantern,101 Montague St,3.5,$$,11201,"['pickup', 'delivery']",467,"[{'alias': 'thai', 'title': 'Thai'}]"
33,Nvhx093-K2xwHIZVnFstJw,Copper Throat Thai Cuisine,123 Ludlow St,4.0,$$,10002,"['pickup', 'delivery']",117,"[{'alias': 'thai', 'title': 'Thai'}]"
34,dVR5KHPMZoU9rQvxhY5Otw,Thai Terminal,349 E 12th St,4.0,$$,10003,"['pickup', 'delivery']",570,"[{'alias': 'thai', 'title': 'Thai'}]"
35,cegA4jf16vEt7NCQ7cpu2w,Kin'd,192-03 Union Tpke,4.5,$$,11366,"['pickup', 'delivery']",768,"[{'alias': 'thai', 'title': 'Thai'}]"
36,NN3mOWF5e_pnR1ArqM2bHQ,OBAO,647 9th Ave,4.0,$$,10036,"['pickup', 'delivery']",2638,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
37,TUoya6mwmxr0Zpr8oZSXlg,Thip Osha,795 Grand St,4.5,$$,11211,"['pickup', 'delivery']",81,"[{'alias': 'thai', 'title': 'Thai'}]"
38,UO4kyXfdQIlAhM-TRgM9cw,Look By Plant Love House,622 Washington Ave,4.0,$$,11238,"['pickup', 'delivery']",329,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'desserts', 'title': 'Desserts'}]"
39,rKeLuHDI3PQZsPSVCEMHtw,Wondee Siam,792 9th Ave,4.0,$$,10019,"['pickup', 'delivery']",1028,"[{'alias': 'thai', 'title': 'Thai'}]"
40,Wq9cARVEwOmoqfg41mNRNg,Noree Thai Bazaar,274 Grand St,4.0,$$,10002,"['pickup', 'delivery']",178,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]"
,Id,Name,Location,Rating,Price,Zipcode,Transactions,Review Count,Categories
0,bF38ob3wxacTztdQLRS-Sg,Tung Thong 181,812 W 181st St,4.0,$$,10033,"['delivery', 'pickup']",102,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'soup', 'title': 'Soup'}]"
