,Id,Name,Location,Rating,Price,Zipcode,Transactions,Review Count,Categories
27,cQWUPxESnMx69dshABS_rg,Taquitos Mexico,6720 14th Ave,4.0,$,11219,"['pickup', 'delivery']",211,"[{'alias': 'mexican', 'title': 'Mexican'}]"
28,jnEv25Y2DosTq2sNnvmC9g,Los Tacos No.1,75 9th Ave,4.5,$,10011,[],3068,"[{'alias': 'tacos', 'title': 'Tacos'}]"
29,NOh24SMS6k4pzNv8Ds7KDg,Cafe Habana,17 Prince St,4.0,$$,10012,"['pickup', 'delivery']",3157,"[{'alias': 'cuban', 'title': 'Cuban'}, {'alias': 'mexican', 'title': 'Mexican'}]"
30,N90gLDq4XgqYanlRqaeNKg,Acapulco,1116 Manhattan Ave,4.0,$,11222,['delivery'],284,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'newamerican', 'title': 'American (New)'}]"
31,DQuwci5xgJxXx7dxxp9FBA,Taqueria St. Marks Place,79 St Marks Pl,4.0,$$,10003,"['pickup', 'delivery']",434,"[{'alias': 'mexican', 'title': 'Mexican'}]"
32,PqqnNrUtU7XTKQvUM4cyqQ,Bar Verde,65 2nd Ave,4.5,$$,10003,"['pickup', 'delivery']",278,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
33,iK2jJQA72XRjf4nUD3cAnA,Tortilleria Mexicana Los Hermanos,271 Starr St,4.0,$,11237,['delivery'],718,"[{'alias': 'mexican', 'title': 'Mexican'}]"
34,1ux5rxwWjKxoXHUyGynwSg,Purepecha,213 Smith St,4.0,$$,11201,"['pickup', 'delivery']",50,"[{'alias': 'mexican', 'title': 'Mexican'}]"
35,zBORlLYwMqqJ_GOX6K31mw,Pedro's Mexican Bar & Restaurant,73 Jay St,2.5,$$,11201,"['pickup', 'delivery']",493,"[{'alias': 'mexican', 'title': 'Mexican'}]"
36,-kVueEw_fyO1Q2Gkmj6Few,Taqueria Santa Fe,4708 47th Ave,4.5,$,11377,"['pickup', 'delivery']",381,"[{'alias': 'mexican', 'title': 'Mexican'}]"
37,tvqtAjAyc7dplVVwhw3VZQ,La Contenta Oeste,78 W 11th St,4.0,$$,10011,"['pickup', 'delivery']",238,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]"
38,ifGXrRqs-zp6ek7LsoozrQ,Taqueria Diana,129 2nd Ave,4.0,$,10003,"['pickup', 'delivery']",735,"[{'alias': 'mexican', 'title': 'Mexican'}]"
,Id,Name,Location,Rating,Price,Zipcode,Transactions,Review Count,Categories
0,6Ct7OeTRn4caY9g0swFBsw,La Contenta,102 Norfolk St,4.5,$$,10002,"['pickup', 'delivery']",765,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
1,BbMUXd69i0tlWS2aoppwaQ,El Camion,194 Ave A,4.0,$$,10009,"['pickup', 'delivery']",696,"[{'alias': 'mexican', 'title': 'Mexican'}]"
2,RzKR9QcYP03EQ_8DxTxowg,Barrio Chino,253 Broome St,4.0,$$,10002,"['pickup', 'delivery']",1110,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}]"
3,9aJ1MVTthZw3QjqoG7mPjg,Rosie's,29 E 2nd St,4.0,$$,10003,"['pickup', 'delivery']",732,"[{'alias': 'mexican', 'title': 'Mexican'}]"
